e0188gsuufv	李世乭 VS Alphago 棋魂版
id_XMjUxNjcxNzQ0MA==	轉戰演藝圈仍不忘下棋 黑嘉嘉想和 AlphaGo 對決看看
id_XMTUyMzkyMjg2NA==	游戏大事件：狗会玩！AlphaGo下个目标是星际争霸？
id_XMzA5NzA0Nzk3Ng==	AlphaGo Zero
id_XMTQ5NDg3Njk4OA==	人类输了！人机大战第一回合：李世石遭AlphaGo逆转
av17733133	Run，阿法狗，Run！
v_19rr9zjic0	忘了AlphaGo吧，这里有更酷的战斗机器人！
i0855ck65q3	为什么人类在围棋上输给AlphaGo机器人如此扎心
id_XMTkwNzg0Nzg0MA==	“Master”横扫围棋界 “Master”已获59胜1和 并自称系“Alpha Go”团队黄士杰
m06948o488n	AlphaGo又把人类打败了？这10部科幻电影带你走向未来
v_19rr7exglw	首战失利围棋人机大战柯洁不敌AlphaGo
i0506wn6n9q	具备围棋十段能力的alphago，硬件揭秘！你一定想知道！
v_19rrbbwo0o	定了!AlphaGo与柯洁将于5月23日大战三回合
h0507xi5oei	人机大战落幕：AlphaGo退役
av14676331	【碧蓝海事局】挑战极限！2船S胜9-4Boss新月JP！
id_XMTkwNDMzNjA0NA==	《阿法狗》尾侃李世石和AlphaGo的人机大战！
av41247591	赢棋还要抓头痛哭输给AlphaGo的柯洁-9期talkking
o05070mavq9	CGTN独家专访聂卫平：AlphaGo已达到人类20段
q0659ylvchs	滴滴算法比围棋算法更复杂，网友：你对AlphaGo的力量一无所知！
v_19rrleho10	人机终极对决或年内举行柯洁将战AlphaGO
id_XMzQ3MDU2MzIwMA==	高晓松谈AlphaGo人机大战
id_XMTQ5Nzk2MDc5Mg==	围棋人机大战：AlphaGo的“大脑”哈萨比斯 东方新闻 160312
av10907919	[Teaching Practice] How Does AlphaGo Work - 2
id_XMTU2MDk2MTAzMg==	用 Gephi 复盘 AlphaGo 与李世乭围棋人机对战（第五局）
id_XMTQ5NTg5MzU1Ng==	李世石与alphago人机大战第二场对决赛后新闻发布会
av34309349	Alphago后时代，AI开局库第一集-出乎意料的打吃/小小林&陪练员围棋工作室
id_XMTQ5ODM4NzM0MA==	柯洁 AlphaGo的试金石？ 第一时间 20160313 高清版
