v_19rr28fmgo	爱情来得太快！英潜水员救援期间与泰国女翻译相恋
id_XMzcxNzcxMzM2MA==	从洞穴水下营救泰国足球少年（法国电视台拍摄2018.7）佩服这次救援行动所有付出者，真是牛[强][强][强]
j0717tqt6l4	泰国洞穴救援:“没有孩子以前有这样的溶洞潜水经历”
av25769505	o6钦州学做螺蛳粉▊红松叶▊手撕螺做法
id_XMzczMjU5MDY1Ng==	感动! 泰国洞穴救援男孩重温'奇迹时刻' .
v_19rr1t8wgo	泰国洞穴营救遇挫 一名海军特种部队前成员溺亡
m07438mghxg	泰国少年足球队被困洞穴 中国救援队穿过洞穴送救援物资
r0746c629ii	泰国足球少年洞穴中探险却意外遭遇暴雨，跨国救援牵动全球！
id_XMzc0ODI0MTE1Mg==	泰国洞穴救援揭秘
y03369yvev6	漫山遍野的尸骨 洞穴住着极度阴森恐怖的大怪物 ！
id_XMzcwNjAwODg2MA==	长沙“蓝天侠”跨国救援被困洞穴泰国少年, 居民用中文说: 谢谢
v_19rr1lu8mc	泰国:少年足球队洞穴营救视频首次曝光
m0717caj7kl	泰洞穴救援细节曝光：多名潜水员曾身体不适；马斯克没帮上忙
v_19rr1lbk4s	泰国溶洞救援进展:被困13人全部获救
w0719jswzhc	泰国洞穴被困男孩后续！强降雨威胁后继续救援！
v_19rr1gz57s	洞内氧气告急泰国洞穴救援加速
v_19rqsb0nhk	 泰国少年足球队遇险洞穴成热门景点
v_19rr5jkyyg	海绵宝宝之海绵宝宝潜入深海洞穴
p072211j66n	泰国洞穴救援行动-效果展示救援方案柚子木字幕组
v_19rr1i4vak	泰国游船倾覆追踪 救援仍在继续
v07168keueg	洞内氧气跌至15%的危险水平！还将持续降雨，泰国洞穴救援必须加速！
v_19rr1gzhj4	泰国13人被困洞穴 长沙“蓝天侠”跨国营救
v_19rr1m5ol8	泰国洞穴救援成功:中国救援队坚守至最后一刻
v_19rr11i3oo	 泰国一青少年足球队13人洞穴内失踪
v_19rr1fkgro	长沙“蓝天侠”驰援泰国溶洞救援
av26480338	迅速行动！马斯克赶制小型潜艇 或被用于救援泰国被困儿童
v_19rr1ng5r8	被困洞穴的泰国足球队成员全部获救
o0711768qxf	泰国少年足球队被困山洞被找到，长沙洞穴专家前往参与救援
v_19rr1thaq8	泰国少年足球队被困溶洞 中方救援队参与搜救
av26550820	特斯拉CEO马斯克带着救援迷你潜艇抵达泰国洞穴
v_19rr1hr92w	泰国洞穴营救遇挫1名前特种兵溺亡
v_19rr1fyg0g	泰国溶洞救援:第一批4名少年已被救出
id_XNDA1Nzk1NzIyOA==	泰国洞穴救援揭秘1-1
id_XMzcxNTE1NTYyMA==	外媒记者现场拍摄讲解, 了解泰国洞穴救援到底有多困难!
v_19rr1wfzag	泰国溶洞救援方案二:钻洞救援
v_19rr1gjzkc	泰国溶洞救援行动 被困足球队少年救援持续
v_19rre550ys	洞穴深处发现昆虫新物种
v_19rsm8ohpc	荒岛求生27：潜入神秘海沟最深处，原来这是深海巨鳗的藏身洞穴
e14277fkqwo	泰国洞穴救援 马斯克8小时造“神器”即将上线
v_19rr1i4v7s	泰国13人被困洞穴,长沙“蓝天侠”跨国营救(六)
v_19rr1nbgyc	泰国溶洞救援行动: 13人终于全部获救出洞
a07265ozldd	泰国少年足球队洞穴被困 多国救援队参与营救
p0722j9j94z	泰国少年足球队洞穴被困，多国救援队参与营救
h0026e5ayrf	泰国洞穴救援新进展 又有4名被困少年获救
v_19rrkzce1c	印尼发现“霍比特人”洞穴
av26050420	泰国13人足球队失踪10天后……在这里被找到
y0026zy1tl8	中国洞穴救援专家赶赴泰国展开营救
c0765zpc8gi	男子河边钓鱼发现神秘洞穴，走下去一看，不得不报警！
id_XNDEwMDQ1NjUyMA==	泰国洞穴救援揭秘1-3
e0781q3a93f	奇妙救援队：怪兽车发现了一个神秘的洞穴
v_19rr1h0tng	洞内氧气告急 泰国洞穴救援加速
r0523b4xg1k	去世界最大的洞穴探险：越南山水洞！
v_19rrjc8m5o	《洞穴》最新预告片
id_XNDA1Nzk2MDM4OA==	泰国洞穴救援揭秘1-6
c0854821eg3	心碎！15岁少年洞穴内失踪5天，搜救无果，家长同意停止救援
v_19rqv3cfko	吃鸡没有车怎么进入空投洞穴
v_19rr67txqg	曾经被困洞穴的泰国足球少年亮相青奥会
av26635321	绝地史诗大营救，泰足少年洞穴救援揭秘
v_19rsn0uhac	水沟摸鱼发现一个洞穴，洞口都是残骸，扒开一看，太凶猛了
v_19rr1n2d0k	泰国:少年足球队洞穴救援视频首次曝光
av26979166	洞穴救援英国潜水员痛骂马斯克迷你潜艇，马斯克回骂：弱鸡！
w0710nikesm	泰国被困洞穴13人全部寻获 中方人员参与救援
d0870i3a9fy	世界上最“神秘”的洞穴！含有大量金子，还能治疗疾病
t0762khqp72	泰国洞穴救援最新进展！男孩子不能跳水,不能一夜之间存钱
v_19rr1ihpts	泰国溶洞救援进行时 一名潜水员缺氧窒息死亡
id_XNDEwMDQ0MzE2MA==	泰国洞穴救援揭秘2-2
v_19rr1nylxw	找到了！泰国失联9天的少年足球队被寻获  困在山洞正抽水救援
id_XMzcyNzc2OTkzNg==	独家专访泰国洞穴救援中方救援队员
w0701f17ayq	水下洞穴探险全纪录，真是壮观
v_19rr1jqthg	生命奇迹:泰国洞穴大营救
v_19rrle32wo	蝗虫大举侵袭 泰国佛寺求援
m0026rf14r1	华裔导演将拍“泰国洞穴救援”故事 拒绝好莱坞“漂白”
w0714vor2fv	泰国小女孩到洞穴救援现场探望受困同学：希望他能平安
y0802ekrll8	泰国洞穴救援遇难潜水员生前视频曝光，洞内氧气减少，3孩子虚弱
id_XNDA1Nzk1OTE2MA==	泰国洞穴救援揭秘2-4
k0870bjd0d5	男子荒山上发现一洞穴 刚走几步突然掉头就跑
p0718fa1nro	18天生死营救：2分钟回顾泰国少年足球队救援全程
n0713cd95de	令人窒息，泰国洞穴救援少年足球队，潜水员挤过最窄通道
y0868fh8gdf	男子在地下洞穴 挖东西挖出另一个世界！
id_XMzcxODM3OTk5Ng==	泰国：少年足球队洞穴救援视频首次曝光看东方20180712 高清
v0342rolhna	漫山遍野的尸骨 洞穴住着极度阴森恐怖的大怪物
id_XMzcyODU0NDUxMg==	泰国洞穴救援圆满结束, 长沙“蓝天侠”回国队员、市民机场迎接
b0727a08td0	泰国洞穴救援揭秘
id_XMzcyODg1MDUwNA==	生死十八天  揭秘泰国洞穴救援
p0709foxvvk	紧急！泰国少年足球队13人洞穴失联，中国救援队抵达现场参与搜救
t07269r6o3f	英国潜水员泰国洞穴救援期间的意外收获：小20岁护士女友一枚
q0725bb8hrv	长沙“蓝天侠”驰援泰国洞穴救援 国王赠礼致谢
v_19rqs9oyh4	泰国少年足球队遇险洞穴成热门景点 銮洞现已世界闻名
q0720ekjz8a	好莱坞公司争拍“泰国洞穴救援”！《惊天魔盗团2》华裔导演将执导
v_19rqvw08e4	军武大本营：泰国溶洞救援细节揭秘！这竟是一个巧合！
l08506xsyro	越南宁平水上的洞穴好漂亮！
v_19rrhwe0ms	德国探险家千米洞穴获救 动用728人搜救11天
a00266s6sba	含氧量低于正常值 泰国洞穴救援行动分秒必争
p1428nntlx3	泰国举行洞穴救援人员答谢宴，被困教练披露洞中如何鼓励孩子
v_19rqsgk220	柯登小剧场：全球性热浪开启夏天 泰国多名孩子从洞穴中被解救
v_19rr2g7x94	纪念救援少年足球队行动 泰国艺术家画13米长画
b0772wfjqcj	科普泰国救援为何难度极大4年前德国也有过类似洞穴被困事故
id_XMzg0NDU5MDk1Ng==	泰国洞穴救援揭秘：人类历史上难度最大的一次洞穴救援行动
id_XMzczMDI0NjYwOA==	专业救援潜水员不幸遇难 救援行动面临更大挑战
v_19rrksgazk	泰国上百万只蝙蝠列队飞出洞穴 绵延10公里
id_XMzczMzQwMzM0OA==	中方救援队到底在这次救援中做了什么？
id_XMzczMDI2MjU4OA==	洞穴救援过程危险重重 最危险的一环在哪里？
n073778bar6	英雄不休息：泰国洞穴救援队又出现在老挝溃坝救援现场
v_19rr1iwye4	华裔导演将拍“泰国穴救援”故事
v_19rr1h2clo	泰国少年足球队被困溶洞 救援持续进行
v_19rr8jsq4o	重庆:少年"贪凉"被困洞穴 警民携手救援
v_19rr119dbk	泰国:洞穴探险失联 青少年足球队13人生死未卜
t0723w7ia4v	泰国小女孩到洞穴救援现场探望受困同学，希望他能平安
e08598wbglt	中国渤海出事了？惊现神秘洞穴一日吞水3万亿吨，连专家都不敢信
s07101gtylj	泰少年足球队13人洞穴失联九天仍有生还可能 中方救援队凌晨进洞
v1427o4p1i1	热点扫一扫 泰国洞穴救援行动再开启 已救出5名孩子
id_XMzczMzgxODAyOA==	中方队员母亲电视机前直击儿子身影 心疼泪目
id_XNDEwMDQ1MzI0MA==	泰国洞穴救援揭秘2-5
v_19rr1gk9s4	泰国溶洞救援加速!少年足球队开始潜水出洞
